iter	Passed	Remaining
0	3	3566
1	6	3345
2	10	3341
3	13	3313
4	16	3269
5	19	3242
6	23	3286
7	26	3317
8	30	3306
9	33	3274
10	36	3260
11	39	3290
12	43	3310
13	47	3355
14	51	3360
15	54	3372
16	58	3383
17	61	3359
18	64	3338
19	67	3330
20	71	3339
21	74	3325
22	77	3303
23	80	3293
24	84	3288
25	88	3331
26	95	3442
27	99	3446
28	104	3487
29	107	3479
30	111	3475
31	115	3493
32	120	3532
33	124	3549
34	128	3551
35	132	3548
36	136	3564
37	142	3603
38	146	3602
39	151	3632
40	155	3646
41	161	3684
42	169	3769
43	173	3772
44	178	3780
45	183	3802
46	187	3801
47	191	3792
48	194	3783
49	202	3843
50	207	3852
51	211	3852
52	215	3844
53	219	3838
54	223	3847
55	227	3838
56	232	3838
57	237	3854
58	245	3914
59	264	4140
60	270	4170
61	274	4157
62	281	4180
63	285	4174
64	288	4156
65	293	4147
66	297	4140
67	300	4122
68	304	4103
69	308	4099
70	312	4082
71	315	4066
72	319	4053
73	324	4055
74	331	4084
75	344	4186
76	350	4195
77	353	4178
78	357	4171
79	361	4152
80	364	4135
81	368	4123
82	372	4113
83	377	4112
84	380	4098
85	384	4081
86	387	4067
87	391	4052
88	394	4036
89	397	4022
90	401	4005
91	404	3996
92	408	3981
93	425	4104
94	431	4110
95	435	4099
96	439	4089
97	442	4075
98	446	4061
99	449	4046
100	453	4032
101	456	4015
102	459	3999
103	462	3983
104	465	3969
105	469	3955
106	472	3940
107	475	3924
108	478	3911
109	481	3898
110	485	3884
111	488	3871
112	491	3856
113	494	3842
114	497	3831
115	501	3824
116	505	3812
117	508	3800
118	511	3789
119	516	3785
120	522	3793
121	528	3800
122	546	3896
123	549	3882
124	552	3868
125	555	3855
126	559	3843
127	562	3833
128	565	3821
129	569	3808
130	572	3795
131	577	3797
132	580	3787
133	584	3778
134	587	3767
135	606	3855
136	610	3845
137	613	3833
138	616	3821
139	619	3808
140	623	3796
141	626	3786
142	629	3773
143	632	3761
144	636	3752
145	640	3743
146	643	3736
147	647	3726
148	650	3716
149	653	3705
150	657	3698
151	668	3731
152	673	3728
153	677	3720
154	681	3717
155	685	3708
156	689	3700
157	692	3691
158	696	3685
159	699	3674
160	704	3673
